RatingID;Rating;RatingCount;ProductID
698;4.4;15137;B074CWD7MS
699;4.4;18757;B083342NKJ
700;4.5;815;B09C6HXFC1
701;4.2;156638;B00A0VCJPI
702;4.1;9344;B00UGZWM2I
703;4.5;4875;B00R1P3B4O
704;4.2;20881;B0B3MWYCHQ
705;4.3;4744;B09DG9VNWB
706;3.9;12452;B09Y5MP7C4
707;4.5;1781;B01DJJVFPC
708;4.1;53648;B07DFYJRQV
709;4.2;2014;B08L879JSN
710;3.8;5958;B08TDJNM3G
711;4.3;38221;B06XSK3XL6
712;3.9;64705;B07YNTJ8ZM
713;4.3;17129;B09KGV7WSV
714;4.3;11976;B08DPLCM6T
715;3.9;17348;B07KR5P3YD
716;3.7;87798;B08FB2LNSZ
717;4.2;24432;B01IBRHE3E
718;4.3;189104;B01N6LU1VF
719;4.2;93112;B07XLML2YS
720;3.9;47521;B086WMSCN3
721;4.3;27201;B003B00484
722;3.7;10962;B085194JFL
723;4.3;16299;B09F6S8BT6
724;4.3;31534;B003L62T7W
725;3.9;7571;B09P18XVW6
726;4.4;6537;B00LZLPYHW
727;4.0;9377;B09NHVCHS9
728;4.5;2101;B00NNQMYNE
729;3.9;3517;B0B217Z5VK
730;4.3;63899;B07B88KQZ8
731;4.2;12153;B01M4GGIVU
732;4.1;573;B07Z3K96FR
733;4.2;25488;B0756CLQWL
734;4.5;54405;B004IO5BMQ
735;4.2;1949;B09Z6WH2N1
736;4.2;122478;B01HGCLUH6
737;4.3;7241;B01N4EV2TL
738;4.0;20457;B08MZQBFLN
739;4.5;861;B0752LL57V
740;3.8;16557;B08K4PSZ3V
741;3.9;1087;B09Z28BQZT
742;4.0;154;B094DQWV9B
